Pkey,128.0,1509.0,2627.0,315.0,2108.0,527.0,1132.0,1209.0,4823.0,4409.0,608.0,206.0,4709.0,727.0,1324.0,1503.0,1524.0,2228.0,1612.0,1521.0,4423.0,710.0,1533.0,3810.0,4223.0,3109.0,1927.0,3310.0,6009.0,201.0,229.0,809.0,4909.0,2518.0,4023.0,2421.0,821.0,6209.0,5109.0,224.0,3909.0,901.0,2929.0,2310.0,1319.0,2708.0,4509.0,3008.0,919.0,1909.0,121.0,1708.0,2003.0,418.0,2423.0,1522.0,5409.0,1203.0,2221.0,2010.0,129.0,1129.0,3023.0,921.0,2210.0,1027.0,708.0,2124.0,1424.0,2408.0,323.0,1306.0,2910.0,2723.0,2727.0,429.0,1822.0,329.0,309.0,308.0,722.0,802.0,819.0,414.0,1020.0,2018.0,1809.0,1109.0,427.0,2308.0,5023.0,3010.0,1718.0,415.0,2429.0,6509.0,914.0,1327.0,912.0,220.0,823.0,3823.0,2829.0,1629.0,2118.0,1229.0,4009.0,2808.0,2328.0,314.0,408.0,3133.0,1633.0,1221.0,126.0,1722.0,519.0,2129.0,1123.0,1310.0,2618.0,523.0,1108.0,1329.0,421.0,520.0,5909.0,2023.0,1322.0,920.0,2123.0,2933.0,829.0,808.0,918.0,1421.0,218.0,227.0,1312.0,1118.0,1618.0,513.0,1133.0,3623.0,125.0,1824.0,1720.0,2608.0,1022.0,411.0,217.0,1428.0,312.0,617.0,4923.0,712.0,832.0,933.0,7009.0,3009.0,4609.0,1103.0,2809.0,1006.0,603.0,4109.0,1609.0,903.0,729.0,2021.0,1101.0,624.0,108.0,1921.0,1227.0,120.0,3410.0,909.0,6409.0,420.0,318.0,620.0,1418.0,5209.0,1127.0,1510.0,5709.0,2529.0,2120.0,4123.0,1728.0,103.0,423.0,1918.0,3709.0,602.0,208.0,1519.0,3123.0,2409.0,1305.0,2029.0,1029.0,1520.0,1627.0,1206.0,3223.0,403.0,1219.0,932.0,714.0,614.0,2223.0,3423.0,1121.0,717.0,1208.0,1608.0,1321.0,303.0,3409.0,327.0,1827.0,1808.0,219.0,2101.0,1024.0,1820.0,3610.0,622.0,322.0,6309.0,3710.0,4723.0,1506.0,3108.0,3509.0,221.0,508.0,906.0,1508.0,1318.0,1224.0,609.0,822.0,124.0,3110.0,506.0,2621.0,2218.0,2318.0,333.0,2121.0,2909.0,2833.0,232.0,3209.0,3309.0,7109.0,203.0,434.0,908.0,1518.0,1818.0,328.0,606.0,1233.0,132.0,701.0,1010.0,3323.0,4309.0,1021.0,621.0,2110.0,1028.0,1624.0,2209.0,1721.0,2020.0,913.0,810.0,1801.0,319.0,2229.0,320.0,1013.0,118.0,2729.0,215.0,3427.0,1332.0,629.0,2921.0,522.0,122.0,2908.0,1032.0,432.0,1628.0,3033.0,1501.0,2128.0,406.0,1212.0,5809.0,818.0,2510.0,131.0,3609.0,1420.0,2827.0,715.0,1120.0,1512.0,813.0,1412.0,1112.0,703.0,615.0,1110.0,510.0,2233.0,1309.0,5609.0,1222.0,728.0,334.0,1606.0,424.0,3809.0,1709.0,532.0,619.0,3021.0,115.0,3723.0,1623.0,1929.0,1303.0,518.0,1409.0,6109.0,721.0,428.0,709.0,1906.0,6809.0,803.0,213.0,113.0,409.0,223.0,1003.0,2410.0,719.0,209.0,1410.0,2329.0,2821.0,1019.0,618.0,1733.0,1408.0,927.0,2710.0,2418.0,828.0,833.0,1527.0,127.0,1622.0,2024.0,3523.0,2027.0,2324.0,3510.0,1621.0,1523.0,135.0,228.0,111.0,235.0,1119.0,130.0,2521.0,2927.0,820.0,632.0,1320.0,2008.0,2106.0,1724.0,106.0,706.0,923.0,1727.0,110.0,1819.0,2320.0,324.0,1232.0,1403.0,2810.0,1433.0,1113.0,613.0,2009.0,1124.0,1828.0,3308.0,4209.0,234.0,2033.0,501.0,210.0,1919.0,1220.0,1821.0,910.0,1419.0,2709.0,529.0,422.0,2427.0,1122.0,2923.0,2523.0,924.0,922.0,601.0,2508.0,3029.0,2533.0,1701.0,1620.0,509.0,1920.0,628.0,1723.0,3227.0,2721.0,2001.0,1323.0,1706.0,517.0,1406.0,3210.0,1703.0,524.0,1023.0,109.0,1210.0,720.0,1803.0,815.0,733.0,1910.0,2201.0,321.0,3527.0,1903.0,5509.0,6709.0,2420.0,1710.0,3127.0,1223.0,1008.0,2823.0,114.0,3923.0,515.0,4323.0,503.0,2109.0,1923.0,2610.0,310.0,123.0,1429.0,623.0,5009.0,1301.0,5309.0,4523.0,1308.0,2220.0,3327.0,4623.0,1908.0,1106.0,410.0,2309.0,2133.0,1218.0,1610.0,3027.0,6909.0,806.0,718.0,311.0,1719.0,335.0,317.0,230.0,1928.0,1128.0,2321.0,4809.0,521.0,610.0,2524.0,824.0,222.0,214.0,2624.0,1603.0,2127.0,1933.0,2224.0,1033.0,2333.0,133.0,1432.0,1833.0,2633.0,514.0,732.0,723.0,1012.0,1333.0,2733.0,3233.0,533.0,2208.0,713.0,1729.0,3208.0,2718.0,1205.0,1529.0,1823.0,814.0,1423.0,702.0,2509.0,812.0,512.0,1422.0,419.0,105.0,1924.0,1810.0,2424.0,6609.0,433.0,2623.0,633.0,2433.0,1328.0,1228.0,928.0,827.0,627.0,332.0,211.0,117.0,1528.0,212.0,417.0,2323.0,612.0,413.0,2028.0,2629.0,306.0,1427.0,313.0
DISTRICT,Adilabad,Agra,Ahmadnagar,Aizawl,Ajmer,Akola,Alappuzha,Aligarh,Alirajpur,Allahabad,Alwar,Ambala,Ambedkar Nagar,Amravati,Amreli,Amritsar,Anand,Anantapur,Anjaw,Anugul,Anuppur,Araria,Ariyalur,Arwal,Ashoknagar,Auraiya,Aurangabad,Aurangabad,Azamgarh,Badgam,Bagalkot,Baghpat,Bahraich,Baksa,Balaghat,Balangir,Baleshwar,Ballia,Balrampur,Banas Kantha,Banda,Bandipore,Bangalore Rural,Banka,Bankura,Banswara,Bara Banki,Baran,Barddhaman,Bareilly,Bargarh,Barmer,Barnala,Barpeta,Barwani,Bastar,Basti,Bathinda,Bauda,Begusarai,Belgaum,Bellary,Betul,Bhadrak,Bhagalpur,Bhandara,Bharatpur,Bharuch,Bhavnagar,Bhilwara,Bhind,Bhiwani,Bhojpur,Bhopal,Bid,Bidar,Bijapur,Bijapur,Bijnor,Bikaner,Bilaspur,Bilaspur,Birbhum,Bishnupur,Bokaro,Bongaigaon,Budaun,Bulandshahr,Buldana,Bundi,Burhanpur,Buxar,Cachar,Champhai,Chamrajnagar,Chandauli,Chandel,Chandrapur,Changlang,Chatra,Chhatarpur,Chhindwara,Chikkaballapura,Chikmagalur,Chirang,Chitradurga,Chitrakoot,Chittaurgarh,Chittoor,Churachandpur,Churu,Coimbatore,Cuddalore,Cuttack,Dadra & Nagar Haveli,Dakshin Bastar Dantewada,Dakshin Dinajpur,Dakshina Kannada,Damoh,Darbhanga,Darrang,Datia,Dausa,Davanagere,Debagarh,Deoghar,Deoria,Dewas,Dhamtari,Dhanbad,Dhar,Dharmapuri,Dharwad,Dhaulpur,Dhemaji,Dhenkanal,Dhubri,Dhule,Dibang Valley,Dibrugarh,Dima Hasao,Dimapur,Dindigul,Dindori,Diu,Dohad,Dumka,Dungarpur,Durg,East,East Garo Hills,East Godavari,East Kameng,East Khasi Hills,East Nimar,East Siang,Ernakulam,Erode,Etah,Etawah,Faizabad,Faridkot,Farrukhabad,Fatehabad,Fatehgarh Sahib,Fatehpur,Firozabad,Firozpur,Gadag,Gajapati,Ganderbal,Gandhinagar,Ganganagar,Ganjam,Garhchiroli,Garhwa,Gaya,Ghaziabad,Ghazipur,Giridih,Goalpara,Godda,Golaghat,Gonda,Gondiya,Gopalganj,Gorakhpur,Gulbarga,Gumla,Guna,Guntur,Gurdaspur,Gwalior,Hailakandi,Hamirpur,Hamirpur,Hanumangarh,Haora,Harda,Hardoi,Hardwar,Hassan,Haveri,Hazaribagh,Hingoli,Hisar,Hoshangabad,Hoshiarpur,Hugli,Idukki,Imphal East,Imphal West,Indore,Jabalpur,Jagatsinghapur,Jaintia Hills,Jaipur,Jaisalmer,Jajapur,Jalandhar,Jalaun,Jalgaon,Jalna,Jalor,Jalpaiguri,Jammu,Jamnagar,Jamtara,Jamui,Janjgir-champa,Jashpur,Jaunpur,Jehanabad,Jhabua,Jhajjar,Jhalawar,Jhansi,Jharsuguda,Jhunjhunun,Jind,Jodhpur,Jorhat,Junagadh,Jyotiba Phule Nagar,Kabeerdham,Kachchh,Kaimur (bhabua),Kaithal,Kalahandi,Kamrup,Kamrup Metropolitan,Kancheepuram,Kandhamal,Kannauj,Kanniyakumari,Kannur,Kanpur Dehat,Kanpur Nagar,Kansiram Nagar,Kapurthala,Karaikal,Karauli,Karbi Anglong,Karimganj,Karimnagar,Karnal,Karur,Kasaragod,Kathua,Katihar,Katni,Kaushambi,Kendrapara,Kendujhar,Khagaria,Khammam,Kheda,Kheri,Khordha,Khunti,Kiphire,Kishanganj,Kishtwar,Koch Bihar,Kodagu,Kodarma,Kohima,Kokrajhar,Kolar,Kolasib,Kolhapur,Kollam,Koppal,Koraput,Korba,Koriya,Kota,Kottayam,Kozhikode,Krishna,Krishnagiri,Kulgam,Kurnool,Kurukshetra,Kurung Kumey,Kushinagar,Lakhimpur,Lakhisarai,Lakshadweep,Lalitpur,Latehar,Latur,Lawangtlai,Lohardaga,Lohit,Longleng,Lower Dibang Valley,Lower Subansiri,Ludhiana,Lunglei,Madhepura,Madhubani,Madurai,Mahamaya Nagar,Maharajganj,Mahasamund,Mahbubnagar,Mahe,Mahendragarh,Mahesana,Mahoba,Mainpuri,Malappuram,Maldah,Malkangiri,Mamit,Mandla,Mandsaur,Mandya,Mansa,Marigaon,Mathura,Mau,Mayurbhanj,Medak,Meerut,Mewat,Mirzapur,Moga,Mokokchung,Mon,Moradabad,Morena,Muktsar,Munger,Murshidabad,Muzaffarnagar,Muzaffarpur,Mysore,Nabarangapur,Nadia,Nagaon,Nagappattinam,Nagaur,Nagpur,Nalanda,Nalbari,Nalgonda,Namakkal,Nanded,Nandurbar,Narayanpur,Narmada,Narsimhapur,Nashik,Navsari,Nawada,Nayagarh,Neemuch,Nicobar,Nizamabad,North,North & Middle Andaman,North 24 Parganas,North Goa,Nuapada,Osmanabad,Pakur,Palakkad,Palamu,Pali,Palwal,Panch Mahals,Panchkula,Panipat,Panna,Parbhani,Pashchim Champaran,Pashchim Medinipur,Pashchimi Singhbhum,Patan,Pathanamthitta,Patiala,Patna,Perambalur,Peren,Phek,Pilibhit,Porbandar,Prakasam,Pratapgarh,Pratapgarh,Puducherry,Pudukkottai,Punch,Purba Champaran,Purba Medinipur,Purbi Singhbhum,Puri,Purnia,Puruliya,Rae Bareli,Raichur,Raigarh,Raigarh,Raipur,Raisen,Rajgarh,Rajkot,Rajnandgaon,Rajouri,Rajsamand,Ramanagara,Ramanathapuram,Ramban,Ramgarh,Rampur,Ranchi,Rangareddy,Ratlam,Ratnagiri,Rayagada,Reasi,Rewa,Rewari,Ri Bhoi,Rohtak,Rohtas,Rupnagar,Sabar Kantha,Sagar,Saharanpur,Saharsa,Sahibganj,Sahibzada Ajit Singh Nagar,Saiha,Salem,Samastipur,Samba,Sambalpur,Sangli,Sangrur,Sant Kabir Nagar,Sant Ravi Das Nagar(bhadohi),Saraikela-kharsawan,Saran (chhapra),Satara,Satna,Sawai Madhopur,Sehore,Senapati,Seoni,Serchhip,Shahdol,Shahid Bhagat Singh Nagar,Shahjahanpur,Shajapur,Sheikhpura,Sheohar,Sheopur,Shimoga,Shivpuri,Shrawasti,Shupiyan,Siddharth Nagar,Sidhi,Sikar,Simdega,Sindhudurg,Singrauli,Sirohi,Sirsa,Sitamarhi,Sitapur,Sivaganga,Sivasagar,Siwan,Solapur,Sonbhadra,Sonipat,Sonitpur,South,South 24 Parganas,South Andaman,South Garo Hills,South Goa,Sri Potti Sriramulu Nellore,Srikakulam,Subarnapur,Sultanpur,Sundargarh,Supaul,Surat,Surendranagar,Surguja,Tamenglong,Tapi,Tarn Taran,Thane,Thanjavur,The Dangs,The Nilgiris,Theni,Thiruvallur,Thiruvananthapuram,Thiruvarur,Thoothukkudi,Thoubal,Thrissur,Tikamgarh,Tirap,Tiruchirappalli,Tirunelveli,Tiruppur,Tiruvannamalai,Tonk,Tuensang,Tumkur,Udaipur,Udalguri,Udham Singh Nagar,Udupi,Ujjain,Ukhrul,Umaria,Una,Unnao,Upper Siang,Upper Subansiri,Uttar Bastar Kanker,Uttar Dinajpur,Uttarkashi,Vadodara,Vaishali,Valsad,Varanasi,Vellore,Vidisha,Viluppuram,Virudunagar,Visakhapatnam,Vizianagaram,Warangal,Wardha,Washim,Wayanad,West,West Garo Hills,West Godavari,West Kameng,West Khasi Hills,West Nimar,West Siang,Wokha,Y.s.r.,Yadgir,Yamunanagar,Yavatmal,Zunheboto
DT_CEN_CD,1,15,26,3,21,5,11,12,48,44,6,2,47,7,13,15,15,22,16,15,44,7,15,38,42,31,19,33,60,2,2,8,49,25,40,24,8,62,51,2,39,9,29,23,13,27,45,30,9,19,1,17,20,4,24,15,54,12,22,20,1,11,30,9,22,10,7,21,14,24,3,13,29,27,27,4,18,3,3,3,7,8,8,4,10,20,18,11,4,23,50,30,17,4,24,65,9,13,9,2,8,38,28,16,21,12,40,28,23,3,4,31,16,12,1,17,5,21,11,13,26,5,11,13,4,5,59,20,13,9,21,29,8,8,9,14,2,2,13,11,16,5,11,36,1,18,17,26,10,4,2,14,3,6,49,7,8,9,70,30,46,11,28,10,6,41,16,9,7,20,11,6,1,19,12,1,34,9,64,4,3,6,14,52,11,15,57,25,21,41,17,1,4,19,37,6,2,15,31,24,13,20,10,15,16,12,32,4,12,9,7,6,22,34,11,7,12,16,13,3,34,3,18,18,2,21,10,18,36,6,3,63,37,47,15,31,35,2,5,9,15,13,12,6,8,1,31,5,26,22,23,3,21,29,28,2,32,33,71,2,4,9,15,18,3,6,12,1,7,10,33,43,10,6,21,10,16,22,17,20,9,8,18,3,22,3,10,1,27,2,34,13,6,29,5,1,29,10,4,16,30,15,21,4,12,58,8,25,1,36,14,28,7,11,15,8,14,11,7,6,11,5,22,13,56,12,7,3,16,4,38,17,5,6,30,1,37,16,19,13,5,14,61,7,4,7,19,68,8,2,1,4,2,10,24,7,2,14,23,28,10,6,17,14,9,27,24,8,8,15,1,16,20,35,20,23,35,16,15,1,2,1,2,11,1,25,29,8,6,13,20,21,17,1,7,9,17,1,18,23,3,12,14,28,14,11,6,20,11,18,33,42,2,20,5,2,19,12,18,9,14,27,5,4,24,11,29,25,9,9,6,25,30,25,17,16,5,19,6,17,32,27,20,13,17,5,14,32,17,5,10,1,12,7,18,8,7,19,22,3,35,19,55,67,24,17,31,12,10,28,1,39,5,43,5,21,19,26,3,1,14,6,50,13,53,45,13,22,33,46,19,11,4,23,21,12,16,30,69,8,7,3,17,3,3,2,19,11,23,48,5,6,25,8,2,2,26,16,21,19,22,10,23,1,14,18,26,5,7,7,10,13,27,32,5,22,7,17,32,27,12,15,18,8,14,7,25,8,5,14,4,1,19,18,24,66,4,26,6,24,13,12,9,8,6,3,2,1,15,2,4,23,6,4,20,26,3,14,3
ST_CEN_CD,28,9,27,15,8,27,32,9,23,9,8,6,9,27,24,3,24,28,12,21,23,10,33,10,23,9,27,10,9,1,29,9,9,18,23,21,21,9,9,24,9,1,29,10,19,8,9,8,19,9,21,8,3,18,23,22,9,3,21,10,29,29,23,21,10,27,8,24,24,8,23,6,10,23,27,29,22,29,9,8,22,2,19,14,20,18,9,9,27,8,23,10,18,15,29,9,14,27,12,20,23,23,29,29,18,29,9,8,28,14,8,33,33,21,26,22,19,29,23,10,18,23,8,29,21,20,9,23,22,20,23,33,29,8,18,21,18,27,12,18,18,13,33,23,25,24,20,8,22,11,17,28,12,17,23,12,32,33,9,9,9,3,9,6,3,9,9,3,29,21,1,24,8,21,27,20,10,9,9,20,18,20,18,9,27,10,9,29,20,23,28,3,23,18,9,2,8,19,23,9,5,29,29,20,27,6,23,3,19,32,14,14,23,23,21,17,8,8,21,3,9,27,27,8,19,1,24,20,10,22,22,9,10,23,6,8,9,21,8,6,8,18,24,9,22,24,10,6,21,18,18,33,21,9,33,32,9,9,9,3,34,8,18,18,28,6,33,32,1,10,23,9,21,21,10,28,24,9,21,20,13,10,1,19,29,20,13,18,29,15,27,32,29,21,22,22,8,32,32,28,33,1,28,6,12,9,18,10,31,9,20,27,15,20,12,13,12,12,3,15,10,10,33,9,9,22,28,34,6,24,9,9,32,19,21,15,23,23,29,3,18,9,9,21,28,9,6,9,3,13,13,9,23,3,10,19,9,10,29,21,19,18,33,8,27,10,18,28,33,27,27,22,24,23,27,24,10,21,23,35,28,11,35,19,30,21,27,20,32,20,8,6,24,6,6,23,27,10,19,20,24,32,3,10,33,13,13,9,24,28,8,9,34,33,1,10,19,20,21,10,19,9,29,22,27,22,23,23,24,22,1,8,29,33,1,20,9,20,28,23,27,21,1,23,6,17,6,10,3,24,23,9,10,20,3,15,33,10,1,21,27,3,9,9,20,10,27,23,8,23,14,23,15,23,3,9,23,10,10,23,29,23,9,1,9,23,8,20,27,23,8,6,10,9,33,18,10,27,9,6,18,11,19,35,17,30,28,28,21,9,21,10,24,24,22,14,24,3,27,33,24,33,33,33,32,33,33,14,32,23,12,33,33,33,33,8,13,29,8,18,5,29,23,14,23,2,9,12,12,22,19,5,24,10,24,9,33,23,33,33,28,28,28,27,27,32,11,17,28,12,17,23,12,13,28,29,6,27,13
ST_NM,Andhra Pradesh,Uttar Pradesh,Maharashtra,Mizoram,Rajasthan,Maharashtra,Kerala,Uttar Pradesh,Madhya Pradesh,Uttar Pradesh,Rajasthan,Haryana,Uttar Pradesh,Maharashtra,Gujarat,Punjab,Gujarat,Andhra Pradesh,Arunanchal Pradesh,Odisha,Madhya Pradesh,Bihar,Tamil Nadu,Bihar,Madhya Pradesh,Uttar Pradesh,Maharashtra,Bihar,Uttar Pradesh,Jammu & Kashmir,Karnataka,Uttar Pradesh,Uttar Pradesh,Assam,Madhya Pradesh,Odisha,Odisha,Uttar Pradesh,Uttar Pradesh,Gujarat,Uttar Pradesh,Jammu & Kashmir,Karnataka,Bihar,West Bengal,Rajasthan,Uttar Pradesh,Rajasthan,West Bengal,Uttar Pradesh,Odisha,Rajasthan,Punjab,Assam,Madhya Pradesh,Chhattisgarh,Uttar Pradesh,Punjab,Odisha,Bihar,Karnataka,Karnataka,Madhya Pradesh,Odisha,Bihar,Maharashtra,Rajasthan,Gujarat,Gujarat,Rajasthan,Madhya Pradesh,Haryana,Bihar,Madhya Pradesh,Maharashtra,Karnataka,Chhattisgarh,Karnataka,Uttar Pradesh,Rajasthan,Chhattisgarh,Himachal Pradesh,West Bengal,Manipur,Jharkhand,Assam,Uttar Pradesh,Uttar Pradesh,Maharashtra,Rajasthan,Madhya Pradesh,Bihar,Assam,Mizoram,Karnataka,Uttar Pradesh,Manipur,Maharashtra,Arunanchal Pradesh,Jharkhand,Madhya Pradesh,Madhya Pradesh,Karnataka,Karnataka,Assam,Karnataka,Uttar Pradesh,Rajasthan,Andhra Pradesh,Manipur,Rajasthan,Tamil Nadu,Tamil Nadu,Odisha,Dadara & Nagar Havelli,Chhattisgarh,West Bengal,Karnataka,Madhya Pradesh,Bihar,Assam,Madhya Pradesh,Rajasthan,Karnataka,Odisha,Jharkhand,Uttar Pradesh,Madhya Pradesh,Chhattisgarh,Jharkhand,Madhya Pradesh,Tamil Nadu,Karnataka,Rajasthan,Assam,Odisha,Assam,Maharashtra,Arunanchal Pradesh,Assam,Assam,Nagaland,Tamil Nadu,Madhya Pradesh,Daman & Diu,Gujarat,Jharkhand,Rajasthan,Chhattisgarh,Sikkim,Meghalaya,Andhra Pradesh,Arunanchal Pradesh,Meghalaya,Madhya Pradesh,Arunanchal Pradesh,Kerala,Tamil Nadu,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Punjab,Uttar Pradesh,Haryana,Punjab,Uttar Pradesh,Uttar Pradesh,Punjab,Karnataka,Odisha,Jammu & Kashmir,Gujarat,Rajasthan,Odisha,Maharashtra,Jharkhand,Bihar,Uttar Pradesh,Uttar Pradesh,Jharkhand,Assam,Jharkhand,Assam,Uttar Pradesh,Maharashtra,Bihar,Uttar Pradesh,Karnataka,Jharkhand,Madhya Pradesh,Andhra Pradesh,Punjab,Madhya Pradesh,Assam,Uttar Pradesh,Himachal Pradesh,Rajasthan,West Bengal,Madhya Pradesh,Uttar Pradesh,Uttarakhand,Karnataka,Karnataka,Jharkhand,Maharashtra,Haryana,Madhya Pradesh,Punjab,West Bengal,Kerala,Manipur,Manipur,Madhya Pradesh,Madhya Pradesh,Odisha,Meghalaya,Rajasthan,Rajasthan,Odisha,Punjab,Uttar Pradesh,Maharashtra,Maharashtra,Rajasthan,West Bengal,Jammu & Kashmir,Gujarat,Jharkhand,Bihar,Chhattisgarh,Chhattisgarh,Uttar Pradesh,Bihar,Madhya Pradesh,Haryana,Rajasthan,Uttar Pradesh,Odisha,Rajasthan,Haryana,Rajasthan,Assam,Gujarat,Uttar Pradesh,Chhattisgarh,Gujarat,Bihar,Haryana,Odisha,Assam,Assam,Tamil Nadu,Odisha,Uttar Pradesh,Tamil Nadu,Kerala,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Punjab,Puducherry,Rajasthan,Assam,Assam,Andhra Pradesh,Haryana,Tamil Nadu,Kerala,Jammu & Kashmir,Bihar,Madhya Pradesh,Uttar Pradesh,Odisha,Odisha,Bihar,Andhra Pradesh,Gujarat,Uttar Pradesh,Odisha,Jharkhand,Nagaland,Bihar,Jammu & Kashmir,West Bengal,Karnataka,Jharkhand,Nagaland,Assam,Karnataka,Mizoram,Maharashtra,Kerala,Karnataka,Odisha,Chhattisgarh,Chhattisgarh,Rajasthan,Kerala,Kerala,Andhra Pradesh,Tamil Nadu,Jammu & Kashmir,Andhra Pradesh,Haryana,Arunanchal Pradesh,Uttar Pradesh,Assam,Bihar,Lakshadweep,Uttar Pradesh,Jharkhand,Maharashtra,Mizoram,Jharkhand,Arunanchal Pradesh,Nagaland,Arunanchal Pradesh,Arunanchal Pradesh,Punjab,Mizoram,Bihar,Bihar,Tamil Nadu,Uttar Pradesh,Uttar Pradesh,Chhattisgarh,Andhra Pradesh,Puducherry,Haryana,Gujarat,Uttar Pradesh,Uttar Pradesh,Kerala,West Bengal,Odisha,Mizoram,Madhya Pradesh,Madhya Pradesh,Karnataka,Punjab,Assam,Uttar Pradesh,Uttar Pradesh,Odisha,Andhra Pradesh,Uttar Pradesh,Haryana,Uttar Pradesh,Punjab,Nagaland,Nagaland,Uttar Pradesh,Madhya Pradesh,Punjab,Bihar,West Bengal,Uttar Pradesh,Bihar,Karnataka,Odisha,West Bengal,Assam,Tamil Nadu,Rajasthan,Maharashtra,Bihar,Assam,Andhra Pradesh,Tamil Nadu,Maharashtra,Maharashtra,Chhattisgarh,Gujarat,Madhya Pradesh,Maharashtra,Gujarat,Bihar,Odisha,Madhya Pradesh,Andaman & Nicobar Island,Andhra Pradesh,Sikkim,Andaman & Nicobar Island,West Bengal,Goa,Odisha,Maharashtra,Jharkhand,Kerala,Jharkhand,Rajasthan,Haryana,Gujarat,Haryana,Haryana,Madhya Pradesh,Maharashtra,Bihar,West Bengal,Jharkhand,Gujarat,Kerala,Punjab,Bihar,Tamil Nadu,Nagaland,Nagaland,Uttar Pradesh,Gujarat,Andhra Pradesh,Rajasthan,Uttar Pradesh,Puducherry,Tamil Nadu,Jammu & Kashmir,Bihar,West Bengal,Jharkhand,Odisha,Bihar,West Bengal,Uttar Pradesh,Karnataka,Chhattisgarh,Maharashtra,Chhattisgarh,Madhya Pradesh,Madhya Pradesh,Gujarat,Chhattisgarh,Jammu & Kashmir,Rajasthan,Karnataka,Tamil Nadu,Jammu & Kashmir,Jharkhand,Uttar Pradesh,Jharkhand,Andhra Pradesh,Madhya Pradesh,Maharashtra,Odisha,Jammu & Kashmir,Madhya Pradesh,Haryana,Meghalaya,Haryana,Bihar,Punjab,Gujarat,Madhya Pradesh,Uttar Pradesh,Bihar,Jharkhand,Punjab,Mizoram,Tamil Nadu,Bihar,Jammu & Kashmir,Odisha,Maharashtra,Punjab,Uttar Pradesh,Uttar Pradesh,Jharkhand,Bihar,Maharashtra,Madhya Pradesh,Rajasthan,Madhya Pradesh,Manipur,Madhya Pradesh,Mizoram,Madhya Pradesh,Punjab,Uttar Pradesh,Madhya Pradesh,Bihar,Bihar,Madhya Pradesh,Karnataka,Madhya Pradesh,Uttar Pradesh,Jammu & Kashmir,Uttar Pradesh,Madhya Pradesh,Rajasthan,Jharkhand,Maharashtra,Madhya Pradesh,Rajasthan,Haryana,Bihar,Uttar Pradesh,Tamil Nadu,Assam,Bihar,Maharashtra,Uttar Pradesh,Haryana,Assam,Sikkim,West Bengal,Andaman & Nicobar Island,Meghalaya,Goa,Andhra Pradesh,Andhra Pradesh,Odisha,Uttar Pradesh,Odisha,Bihar,Gujarat,Gujarat,Chhattisgarh,Manipur,Gujarat,Punjab,Maharashtra,Tamil Nadu,Gujarat,Tamil Nadu,Tamil Nadu,Tamil Nadu,Kerala,Tamil Nadu,Tamil Nadu,Manipur,Kerala,Madhya Pradesh,Arunanchal Pradesh,Tamil Nadu,Tamil Nadu,Tamil Nadu,Tamil Nadu,Rajasthan,Nagaland,Karnataka,Rajasthan,Assam,Uttarakhand,Karnataka,Madhya Pradesh,Manipur,Madhya Pradesh,Himachal Pradesh,Uttar Pradesh,Arunanchal Pradesh,Arunanchal Pradesh,Chhattisgarh,West Bengal,Uttarakhand,Gujarat,Bihar,Gujarat,Uttar Pradesh,Tamil Nadu,Madhya Pradesh,Tamil Nadu,Tamil Nadu,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Maharashtra,Maharashtra,Kerala,Sikkim,Meghalaya,Andhra Pradesh,Arunanchal Pradesh,Meghalaya,Madhya Pradesh,Arunanchal Pradesh,Nagaland,Andhra Pradesh,Karnataka,Haryana,Maharashtra,Nagaland
Label,,Large City,,,Large City,,,,,Large City,,Large City,,,,Large City,,Large City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large City,Large City,,,,,,,,Large City,,,Large City,,,,,,,,Large City,,,,,,,,,,,Large City,,,,,Large City,,,,,,,,,,,,,,,,,,,,,,,,,,,Large City,,Large City,,,,Large City,,,,,,,,,,,,Large City,,,,,,,,,,,,,,,,,,,Large City,,,,,,,,Large City,,,,,,,,,,,,,,,,,,,,,Submetro,,,,,,,,,,Large City,,,Large City,,Large City,,,,,Large City,,,,,,,,Large City,,,Submetro,,,,Large City,Large City,,,,,,Large City,,,,,Large City,,Large City,,,,,,,,,,,,,,Large City,,,,,,,,,,,Large City,,,Large City,Large City,,Large City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large City,,,,,,Large City,,Large City,Large City,,,,,,,,,,,,,,,,,,,Submetro,,,,Large City,,,,,,,,,,,,,,,,,,,,,,,Large City,,,,,,Large City,,,,Large City,,,Large City,,,,,,Submetro,,,,,Large City,,,,,Large City,,,,,,,,,Submetro,,,,,,,,,,,Large City,,,,Large City,Large City,,,Large City,,,,,,,,,,,,,,Large City,,,,,,,,,,,,Large City,,,,,,,,,,Large City,,,,,,,,,,Large City,,,,,,,,Large City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large City,,,,,Submetro,,,,,,,,Large City,,Submetro,,,,,,Submetro,Large City,,,,Large City,,,,,Large City,,,Large City,,,,,,,Large City,,,,,,,,,,,,,,Large City,,,Large City,Large City,,,,Submetro,,,,,,,,,,,,,,,,,,
