system:index,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,District,.geo
0,0.0763190791331413,0.08572633819754218,0.10074643272712269,-3.5616192666935804E-5,0.01124823552587064,0.03648627478533947,0.03216630752629877,0.04821363077853211,-0.07861535181558395,-0.08832889473033727,0.131051056456137,0.18191147670050706,0.0523457748575003,0.03644829518756015,0.1546109874601725,0.013922804975431968,0.008205748313309162,0.048958673984977025,0.07639979570753046,0.09626844282377829,-0.002188151462790125,-0.03371604699625444,0.0035911815699548005,0.11041533540312186,0.1419121697896616,0.1329478837248733,0.2023712326994867,0.11629139404887168,0.18436952035133927,0.0781054661200228,-0.021209355529138572,-0.0817421269757102,-0.023071501620386556,0.05975104663275258,0.1556079441505378,0.18055893292054154,0.05395738338642972,0.07865287464178684,0.04739495334420205,0.15938584860258515,0.262708398424652,0.0720928578156213,0.08640292248244191,0.0026691416591199,0.027207729732591137,-0.10296823267193758,-0.09775992666354719,0.010556290895824345,0.14414182043533574,0.14027206788209362,0.174013646573677,0.14287756162321083,0.1658548057903975,0.011134114407116527,0.029534236749148457,-0.05685585731495358,-0.03936017434241591,0.0719087692991084,0.10969581866193177,0.27645838249452015,0.37919691881893725,0.49734652613522606,0.3212093574696515,0.10130394136063899,0.15905853323296892,0.19731201765911374,0.2405319816019433,0.23430056758933848,0.11150008500588196,0.08006285615270466,0.11566567912114349,0.23283623889125396,0.4259921136429714,Nicobar Islands,
1,0.15019125855852203,0.036047573996507654,0.10530995982287784,-0.011063284676001619,0.014149192757930027,0.019592889370324967,0.05187044466693145,-0.010428282188935855,-0.12061660546501943,-0.09826766007378263,0.023548249310403262,0.12430127364688684,0.14002618593215407,0.04546895069786463,0.09866235128615054,0.011531060565112588,0.061247339784184715,0.031139153352071316,0.11491078777467371,0.09126161542063074,-0.01210327433672381,-0.04021787918481483,-0.0022127756553039293,0.06389430404001478,0.18872490506343273,0.08354894801666296,0.17040485194543167,0.03873135934902587,0.14464075084847378,0.10044818065298623,0.026505085790111887,-0.09116096933244264,-0.04219399569550386,0.038876916244091765,0.1208248141984233,0.2114615639408371,0.12822410585271346,-0.010563555255367207,0.11768652967640243,-0.008312643594539036,0.31272998480185243,0.06800556935083883,0.07019408799669506,0.039973018700655547,0.0013118395258649837,-0.09714012994308358,-0.09433479563141842,0.03005385583819989,0.11972943211388147,0.18154669255845587,0.11363283804273486,0.03650406161815282,0.04725977717336137,0.015406519489096689,0.0785068763611783,-0.08909283036793222,-0.07620872582034141,0.06115449253064666,0.143960639477632,0.2215919299802649,0.35773029544908885,0.41537320747773493,0.24375930647288738,0.15646600688436155,0.15445315280570077,0.22780189676170906,0.2672908155514976,0.185708184663932,0.11425921159941418,0.08076213130680567,0.15930307911172756,0.23575878253067864,0.4152886616401795,North and Middle Andaman,
2,0.33401617674719025,0.08520098299332127,0.2106214989646724,0.0925138274061938,0.05292358642971026,0.0015859424223295786,0.1787329193454159,0.16150071597110485,0.010106439182154493,0.052664603106440805,0.1653863274644606,0.27437799070043867,0.27194483183916585,0.10683094098477808,0.0033134819047257232,0.0033286905742140895,0.05933784780245079,0.19421312594761708,0.24562951378127895,0.28631550385663335,0.1367116215368806,0.16428534385803412,0.18488803535000986,0.2582330683021547,0.3600634945626656,0.27650872024856626,0.2948459401889767,0.17054025414599033,0.3126309448084897,0.2539952586250846,0.2070445628713564,0.04817987333394605,0.12337920446065323,0.24448270903555042,0.31985201574133143,0.3696314766033306,0.28676282666514097,0.21472940529330872,0.08837013065896639,0.19344755508042147,0.4591016289039398,0.20235018024236612,0.21391711909910813,0.1954381203177068,0.1690593622895666,0.06839317387865529,0.08499039420134769,0.2019669410866989,0.30774667779365616,0.3444593394118932,0.2628106910307405,0.030774942170972513,0.27837712684478805,0.16452854020118343,0.2146602922718662,0.029529971996007574,0.09346967122159414,0.19714366245251588,0.3178941475001124,0.3882049110628997,0.5152272907170875,0.5600186062618343,0.31632806297975785,0.261618726254307,0.20345781375343494,0.3633614275542706,0.3911496221627818,0.3414998980180916,0.26712767028046186,0.21438531234326344,0.29627808313989007,0.3962155555456813,0.5888009376426804,South Andaman,
3,0.4519712799178216,0.2555013863338617,0.18791049962965853,0.08648279643723267,0.2588146934266349,0.4427583709150623,0.3097051273538776,0.3061618406333864,0.24150863107334244,0.21479912596186115,0.38074056331468326,0.4207700896936314,0.4642017397466044,0.40360846468816336,0.5208997344135183,0.024333470765189918,0.2954038258881206,0.3147185957428547,0.32283164109286605,0.38243241872105316,0.2663250562074341,0.2706210379043998,0.3579845530213459,0.4707038755727044,0.547148760988292,0.4034014359955143,0.32739793160290187,0.323157869822604,0.47910521668336603,0.3690025822587238,0.294087176968181,0.15691081546158536,0.23249033138484076,0.33223773094060927,0.5017236497097941,0.4312582314317114,0.409495377131198,0.46790265414724275,0.3144477807727898,0.35147548045908134,0.43355281693514075,0.44033403953920736,0.3829738417076901,0.2884606109248067,0.3045082284105874,0.17329135149493702,0.19270784878669656,0.42238871408673184,0.4409690539104019,0.49185300514703734,0.25779215673973394,0.2523350295667708,0.3735072301268743,0.4191676591246448,0.3717771036600648,0.2532735572711942,0.2130531286278876,0.3343922088267192,0.48726272194955367,0.535664485348116,0.630095533531891,0.5371575654953022,0.5674008286029333,0.43806363082110134,0.43190591332391076,0.418335967646649,0.5597496458132538,0.470288785576874,0.4204433579979515,0.3741249291576253,0.5746513519782336,0.5418698009502053,0.7582827048498489,Anantapur,
4,0.7033811395962682,0.5578831573745949,0.28701911911330574,0.0756466692172478,0.1364671643361399,0.426545860168689,0.5926678919845197,0.454727285531276,0.38725461857030324,0.4370718385393582,0.5718521354798737,0.6746693389068661,0.6420192559097893,0.5545465323307845,0.5424289192015772,0.10309724973696514,0.446350089139974,0.43178792737016275,0.4860121396972923,0.5527345733917772,0.39858766467907103,0.4570088908461999,0.6093118580543813,0.7650687948496168,0.7830473485286091,0.6026227531052596,0.5310622976945262,0.611794571338873,0.7038988396687366,0.5999234207538321,0.46123751911811084,0.33402431517005987,0.36772391888177297,0.5624844248372676,0.8407394875591516,0.7001925553007545,0.6355593717970179,0.6971119946190832,0.6851264097005075,0.5420206251788146,0.6962678660666588,0.6442395790183064,0.6224804639478685,0.37743412146244454,0.46118683224696033,0.40795484861422526,0.40302433166037577,0.5940305785125399,0.6553008129032782,0.7571788105406385,0.6135242992020006,0.32045142719587266,0.49504069158966835,0.4896539025976219,0.5819639822266449,0.44159291697041825,0.408756244470388,0.5597142480226476,0.7590186563787451,0.798274867263941,0.8865828337743288,0.7911361357719571,0.9105821727847326,0.6525814597320633,0.24628448936632075,0.7291414683533411,0.7729255034763568,0.6334422791754276,0.5963294396095027,0.6154932397561516,0.773985889388521,0.7807848045352939,0.979162220570228,Chittoor,
5,0.6763147901460292,0.5185364082143934,0.028949643438142495,0.07126468031378136,0.17896200802575343,0.1498028054338597,0.5564552563549082,0.5290814966303022,0.5430458386799892,0.4988576560753225,0.5962735489357329,0.6082094127422274,0.6096659717714702,0.5322940667585838,0.5722902765121153,0.22847659710626417,0.443483974140044,0.3399594110059119,0.538341699306839,0.6053409602726604,0.6222281716415007,0.5771934743254997,0.6602818703114449,0.7482153035346384,0.7009297506923067,0.6398055274243449,0.48727740471243775,0.6611952200255785,0.9170978892425181,0.8950230780949622,0.7199854820700634,0.6216197696933624,0.976090090834951,0.9961058223350938,1.106153659169144,0.8440142017511636,0.9551240036738746,0.829770638807893,0.47218367610580386,0.7549657314060892,0.9177542493223552,0.9660061215870129,0.8528067704718794,0.7880787740336285,0.8735596835446975,0.7566952120739316,0.6879374083417242,0.9664152258832882,0.891680594312657,0.8612601667890677,0.6815996823240228,0.6156524655522302,0.7408506568439788,0.7107847368013809,0.7568712667667796,0.7067977133725272,0.6977443962919563,0.7010587253457017,0.8963140972608243,0.922623919215284,0.9860799528594811,0.9338388384593275,0.9180857647555009,0.6117868133343363,0.886644864367932,0.9465185151327653,1.0123904813470117,0.8810373460320631,0.8827161451886488,0.8092338515743666,1.0728182035146445,1.0708982745104207,1.2179969261063783,East Godavari,
6,0.767742066415907,0.6148299799520763,0.09226246181200974,0.06341976212436133,0.04023160369157111,0.009668003811355809,0.5440972467793636,0.48551482011835767,0.6325992387780845,0.60446767994591,0.6654742523124006,0.730117590925973,0.7032511723646926,0.6564000551638729,0.14793571886021722,0.008780207514021952,0.16048245296218527,0.5169158943060637,0.5428286142877772,0.6327449404970004,0.7254314573442784,0.6415456834720071,0.7045355151150116,0.7805654521114329,0.7928341091433353,0.7403643683524832,0.56554600134201,0.5752192950053758,0.7398274421143861,0.6823439973745336,0.541901839397879,0.3681341679724465,0.8342458617330366,0.6901487722545788,0.871586080115632,0.7086797750848488,0.8021490441830695,0.7040571032859528,0.13501117770212584,0.4770135640200589,0.5746169193034282,0.7399111872744317,0.6918333604894534,0.6059988788585597,0.8000606019590779,0.6541675960701555,0.5837985539603127,0.8360628531139364,0.7836523597828271,0.8561824464203014,0.6325059682709877,0.5199794085871053,0.7696413068792546,0.8558141038080997,0.7161010461825734,0.6292405451013362,0.7472299814398164,0.7769942367762063,0.9057966548194951,0.9498207824311746,1.0181994629381608,0.8976150668810651,1.0423129789494432,0.782247571274825,0.8529150945074708,0.9095997991698966,0.9625132436002977,0.8600388170038866,0.9932774548036645,0.855266090423719,1.1181686937106492,0.9618343427047713,1.1868250085227667,Guntur,
7,0.8256220831692981,0.7345392195528173,0.0070169638597232025,0.050523546665469724,0.0439664591217657,0.02348184761821252,0.6195749098051452,0.5776926189842874,0.6145255549335946,0.6357751178328926,0.7720094877462141,0.7632430942920693,0.7677809079928511,0.7584558527439093,0.2692800114526297,0.053117604571055396,0.3154421660226846,0.5064566602300119,0.6174273266598556,0.7531488668903511,0.8032190670553541,0.7347741237584725,0.8021478852524381,0.8601880127170219,0.8490460618488052,0.8248717428620438,0.613531039999984,0.7872192307891468,0.8678476486773873,0.8145080229634574,0.6416627562441775,0.4928309059388986,0.8978625755308453,0.7991035734184827,0.9761335012158792,0.7839971047389495,0.9593905889600025,0.7841430986909305,0.1889823839212442,0.5894904385552469,0.6945107328745,0.7946398230796003,0.7859929881907853,0.7212990971668661,0.832006916437417,0.6997852690941868,0.6180857414115973,0.7886873706241445,0.8101011342874146,0.9007486337675659,0.7349734169196646,0.599790128288946,0.9160423553504031,0.7816215122864549,0.807349853208802,0.734073113136818,0.8427070880166462,0.8334287328685712,0.969523204932214,0.9798530950417826,1.0747867521093102,1.0498651162359052,1.099739090143066,0.9391553767086389,1.0852781240067404,1.0286809040324782,1.073784357948282,1.0294385874336194,1.0829785943669599,0.9590432654760949,1.140005286095693,1.0194885012819899,1.2773022357075956,Krishna,
8,0.4237249149841346,0.2797125177039249,0.03993598027329057,0.017030523181750606,0.13581614615745877,0.3073171689182281,0.30805325607045203,0.3232216357484608,0.25106137691659736,0.24646100353994826,0.422184366997574,0.5043167768400951,0.4439740330410318,0.35993962821891046,0.39795510637069625,0.029260540610049155,0.1895311359599385,0.3465440674541884,0.3770779311087849,0.41312876060504977,0.3156866810469335,0.330716392671437,0.3863069490159581,0.4943579464831554,0.5468877776459105,0.3827833579955448,0.29285221858104815,0.2684607883336074,0.5000018598667452,0.3469278064877752,0.2882646272398586,0.13967742420502338,0.27864804564107826,0.33699174926838904,0.5751474524983471,0.46806897983361023,0.4163258184981963,0.4643518164674642,0.36812709920391823,0.3352200238224135,0.35414199915884137,0.40798610567183263,0.37061988574356025,0.3027959785919261,0.31274719148931157,0.19660190403794353,0.18756710507060476,0.34201294616779143,0.35697074769525394,0.45407413129524665,0.24985888251799743,0.21016552873081576,0.3031553995659898,0.40555796198521277,0.32262798888925714,0.22694180727637278,0.2081525534042309,0.31514269185267135,0.4883070527424449,0.5232593998528886,0.6271365609156245,0.5063092716234797,0.5098373500093442,0.3899585428262819,0.4818424903826657,0.44465989419204544,0.5455073256021906,0.46918492674127826,0.4256922256168566,0.36837180274224457,0.5439411806215142,0.5150832488031277,0.6763156015844345,Kurnool,
9,0.6910571304072465,0.5306230491903113,0.10833849317655408,0.018288504580567858,0.15450976652330506,0.4568954570863746,0.5485191095124726,0.40231976896708355,0.3382034690550866,0.48826793433006327,0.574821642374194,0.6409498750420388,0.6707453565045176,0.5178981521014531,0.10342250883514684,0.02395409478116284,0.3777418538252996,0.5596118569245891,0.515495106488363,0.5310182860521895,0.4401980329227495,0.5182855781734025,0.6143204338103386,0.7071818411910747,0.7547536340052807,0.6634417208228518,0.49457607611933385,0.511005634793706,0.8021867860019679,0.7196312705768082,0.5087991806403841,0.35883711774834043,0.4030316203865065,0.6520787998501111,0.7992088437446109,0.6762385140840451,0.6870526880971589,0.6694467305030769,0.4290732654523622,0.5809125065833545,0.7051931393243958,0.9521258974328135,0.6967711385707464,0.48154723664920746,0.49649119802604286,0.5161830151129803,0.41576773907227493,0.5860685905678953,0.6385511181796233,0.8196317612169526,0.604965175827375,0.2754493180861393,0.6051749214242894,0.7938558008407454,0.6731116156494806,0.4979261951024702,0.4749944974957558,0.6103818265041424,0.759173588228187,0.8009900479799756,0.8807009492681824,0.7865737430689335,0.965247335469973,0.6969574806652766,0.8208354992088024,0.7704356870758325,0.8828277695435341,0.6734313389701454,0.6642524526035317,0.734033310027601,0.7967290395965274,0.7599945899364097,0.9571430662411934,Nellore,
